token,value
I,-158401198.82421458
do,-316066616.5060556
n't,-316066616.5060556
think,-316066616.5060556
the,828097853.2162108
food,-122475361.81272936
is,-122475361.81272936
good,-316066616.5060556
.,-61025711.409499705
Exllent,-210974313.1310173
drinks,-210974313.1310173
but,-210974313.1310173
environment,-210974313.1310173
sucks,-210974313.1310173
would,78832708.84092045
give,-114758545.85240573
a,272423963.53424674
doing,-114758545.85240573
five,-114758545.85240573
if,-114758545.85240573
could,-114758545.85240573
Although,193591254.6933262
location,193591254.6933262
little,193591254.6933262
hard,193591254.6933262
to,193591254.6933262
find,193591254.6933262
",",1161547528.1599581
atmosphere,193591254.6933262
and,580773764.0799791
staff,193591254.6933262
were,387182509.3866524
really,193591254.6933262
great,193591254.6933262
My,193591254.6933262
boyfriend,193591254.6933262
ordered,193591254.6933262
bulgogi,193591254.6933262
banh,193591254.6933262
mi,193591254.6933262
crackle,193591254.6933262
pork,193591254.6933262
belly,193591254.6933262
bao,193591254.6933262
kimchi,193591254.6933262
fries,387182509.3866524
Everything,193591254.6933262
was,193591254.6933262
incredible,193591254.6933262
although,193591254.6933262
definite,193591254.6933262
standout,193591254.6933262
also,193591254.6933262
recommend,193591254.6933262
getting,193591254.6933262
Thai,193591254.6933262
tea,193591254.6933262
as,193591254.6933262
well,193591254.6933262
!,193591254.6933262
